R,G,B,Label
31.1276,43.7347,15.5081,0
37.1727,44.9652,21.3903,0
61.3702,61.9017,42.1453,1
106.4884,97.8456,63.7673,2
125.4022,113.6317,73.7432,2
115.5826,117.3293,83.8976,2
113.2556,129.6851,109.6521,2
130.4121,152.239,152.2814,2
131.7573,154.2604,162.8324,2
79.1129,134.4784,139.898,1
37.9971,123.2452,117.0269,0
38.616,125.5197,115.6021,0
23.5022,74.3068,53.7153,0
18.2878,39.7255,20.8257,0
23.0742,66.5137,42.891,0
18.0448,54.9583,39.4807,0
20.7964,50.6987,29.0135,0
21.8152,32.6838,13.9295,0
12.774,12.1539,0.8635,0
22.5079,28.3338,7.0254,0
20.0825,34.2825,16.7577,0
29.7433,83.6721,67.6102,0
42.1465,93.2019,78.7131,0
23.7189,27.2328,11.9629,0
29.447,67.2546,47.0646,0
26.1941,39.0768,16.0195,0
23.3766,28.2448,6.0457,0
23.3634,25.7216,6.9102,0
31.4851,55.7587,35.2484,0
39.268,77.4706,55.6659,0
95.589,89.8524,53.0884,2
112.0776,108.6695,70.07,2
61.0313,99.0884,86.1955,1
37.3561,55.6295,29.9882,0
38.6477,48.2995,17.6234,0
31.2924,38.0184,9.1996,0
27.5685,32.115,10.4844,0
35.9464,67.1258,47.4505,0
31.4618,47.9572,17.9453,0
26.2253,47.6233,24.1496,0
22.8989,28.2376,4.9571,0
26.9846,33.035,8.7898,0
30.1991,43.8919,18.6069,0
42.1694,54.2235,36.6853,0
57.5571,60.4928,41.2055,1
62.6118,68.1701,46.8443,1
43.9035,64.318,44.2311,1
30.3924,106.678,88.7005,0
20.7718,110.6816,102.1243,0
18.6644,76.4781,61.4553,0
15.2572,35.5324,26.9982,0
24.0575,105.9194,96.5575,0
18.4204,46.7001,30.2277,0
18.9209,34.3165,14.8597,0
21.5774,62.2822,45.488,0
20.5071,33.6754,14.0556,0
15.7713,21.72,8.9455,0
12.7604,12.5299,0.8712,0
13.0437,13.5834,0.7364,0
19.4873,51.0524,35.5379,0
31.1566,84.4016,68.473,0
43.4291,105.5112,91.0742,0
21.4045,29.0942,10.869,0
22.6346,35.3755,12.2147,0
25.4345,35.7264,14.336,0
26.8417,31.1788,9.1979,0
28.0757,34.8159,12.1022,0
31.1258,47.009,27.6772,0
35.5751,79.4285,64.1887,0
45.2261,51.6812,26.4383,0
134.7247,119.4474,74.0387,2
80.0843,94.3141,68.9743,1
30.1097,36.555,11.5154,0
29.8239,35.1366,8.3416,0
30.2982,42.2519,10.4653,0
30.6103,41.0539,19.0902,0
27.9636,35.7129,11.9905,0
25.5111,33.6632,6.1405,0
20.9318,35.733,16.3846,0
22.5325,30.5959,5.3012,0
21.9903,26.7727,4.6212,0
29.7124,51.4659,25.8656,0
26.4213,44.7819,23.2503,0
22.0341,30.7952,8.3933,0
21.8447,39.551,17.5347,0
18.8175,97.9548,85.6311,0
23.5004,93.205,79.906,0
22.7822,92.831,74.8869,0
25.4268,108.2275,94.4923,0
20.9061,52.0255,35.0735,0
19.6428,44.166,29.7097,0
20.2863,31.9654,11.6656,0
22.5953,39.9704,21.3794,0
